# Logfile created on 2026-07-11 03:25:16 +0200 by logger.rb/v1.5.3
2026-07-11 03:25:16 +0200: Memory Usage (524364K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:25:16 +0200: Memory Usage (524364K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : Loading database to memory is complete.
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_contbar.lyrdb
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : Evaluate switches.
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : tables selected: contbar
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : deep mode is enabled.
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : FEOL enabled: false
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : BEOL enabled: false
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : OFFGRID enabled: true
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : ANGLE enabled: true
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : PIN enabled: false
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : FORBIDDEN enabled: false
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : RECOMMENDED enabled: true
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : PreCheck DRC enabled: false
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:25:16 +0200: Memory Usage (527948K) : Read in polygons from layers.
2026-07-11 03:25:16 +0200: Memory Usage (529188K) : activ_drw has 4847 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529444K) : activ_pin has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529444K) : activ_mask has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529572K) : activ_filler has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529572K) : activ_nofill has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529572K) : activ_opc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529700K) : activ_iopc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529700K) : activ_noqrc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529828K) : biwind_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529828K) : biwind_opc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529956K) : pemwind_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (529956K) : gatpoly_drw has 4112 polygons
2026-07-11 03:25:16 +0200: Memory Usage (530084K) : gatpoly_pin has 65 polygons
2026-07-11 03:25:16 +0200: Memory Usage (530212K) : gatpoly_filler has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (530212K) : gatpoly_nofill has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (530340K) : gatpoly_opc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (530340K) : gatpoly_iopc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (530468K) : gatpoly_noqrc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : cont_drw has 1640232 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : cont_opc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : nsd_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : nsd_block has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : metal1_drw has 39512 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : metal1_pin has 18610 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : metal1_mask has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : metal1_filler has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : metal1_nofill has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538276K) : metal1_slit has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : metal1_text has 10091 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : metal1_opc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : metal1_noqrc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : metal1_res has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : metal1_iprobe has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : metal1_diffprb has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : passiv_drw has 32 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : passiv_pin has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : passiv_sbump has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538532K) : passiv_pillar has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : passiv_pdl has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_drw has 129019 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_pin has 642 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_mask has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_filler has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_nofill has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_slit has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_text has 642 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_opc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_noqrc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_res has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_iprobe has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538660K) : metal2_diffprb has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538788K) : baspoly_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538788K) : baspoly_pin has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538788K) : psd_drw has 1819 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538788K) : nldb_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (538916K) : digibnd_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539044K) : via1_drw has 61293 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539172K) : backmetal1_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539172K) : backmetal1_pin has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539300K) : backmetal1_mask has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539300K) : backmetal1_filler has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539428K) : backmetal1_nofill has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539428K) : backmetal1_slit has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539428K) : backmetal1_text has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539556K) : backmetal1_opc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539684K) : backmetal1_noqrc has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539684K) : backmetal1_res has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539812K) : backmetal1_iprobe has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539940K) : backmetal1_diffprb has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539940K) : backpassiv_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (539940K) : res_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (540068K) : sram_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (540068K) : trans_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (540196K) : ind_drw has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (540196K) : ind_pin has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (540324K) : ind_text has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (540324K) : salblock_drw has 55 polygons
2026-07-11 03:25:16 +0200: Memory Usage (541348K) : via2_drw has 170273 polygons
2026-07-11 03:25:16 +0200: Memory Usage (541476K) : metal3_drw has 126558 polygons
2026-07-11 03:25:16 +0200: Memory Usage (541604K) : metal3_pin has 342 polygons
2026-07-11 03:25:16 +0200: Memory Usage (541732K) : metal3_mask has 0 polygons
2026-07-11 03:25:16 +0200: Memory Usage (541732K) : metal3_filler has 0 polygons
