# Logfile created on 2026-07-11 03:25:56 +0200 by logger.rb/v1.5.3
2026-07-11 03:25:56 +0200: Memory Usage (525928K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:25:56 +0200: Memory Usage (525928K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : Loading database to memory is complete.
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_forbidden_cmos5l.lyrdb
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : Evaluate switches.
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : tables selected: forbidden_cmos5l
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : deep mode is enabled.
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : FEOL enabled: false
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : BEOL enabled: false
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : OFFGRID enabled: true
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : ANGLE enabled: true
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : PIN enabled: false
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : FORBIDDEN enabled: false
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : RECOMMENDED enabled: true
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : PreCheck DRC enabled: false
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:25:56 +0200: Memory Usage (530664K) : Read in polygons from layers.
2026-07-11 03:25:56 +0200: Memory Usage (532124K) : activ_drw has 4847 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532252K) : activ_pin has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532252K) : activ_mask has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532380K) : activ_filler has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532380K) : activ_nofill has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532508K) : activ_opc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532508K) : activ_iopc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532636K) : activ_noqrc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532636K) : biwind_drw has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532636K) : biwind_opc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532764K) : pemwind_drw has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532764K) : gatpoly_drw has 4112 polygons
2026-07-11 03:25:56 +0200: Memory Usage (532892K) : gatpoly_pin has 65 polygons
2026-07-11 03:25:56 +0200: Memory Usage (533020K) : gatpoly_filler has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (533020K) : gatpoly_nofill has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (533020K) : gatpoly_opc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (533148K) : gatpoly_iopc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (533148K) : gatpoly_noqrc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : cont_drw has 1640232 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : cont_opc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : nsd_drw has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : nsd_block has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_drw has 39512 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_pin has 18610 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_mask has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_filler has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_nofill has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_slit has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_text has 10091 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_opc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_noqrc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_res has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_iprobe has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal1_diffprb has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : passiv_drw has 32 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : passiv_pin has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : passiv_sbump has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : passiv_pillar has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : passiv_pdl has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_drw has 129019 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_pin has 642 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_mask has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_filler has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_nofill has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_slit has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_text has 642 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_opc has 0 polygons
2026-07-11 03:25:56 +0200: Memory Usage (541084K) : metal2_noqrc has 0 polygons
