# Logfile created on 2026-07-11 03:25:53 +0200 by logger.rb/v1.5.3
2026-07-11 03:25:53 +0200: Memory Usage (526616K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:25:53 +0200: Memory Usage (526616K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : Loading database to memory is complete.
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_lbe.lyrdb
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : Evaluate switches.
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : tables selected: lbe
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : deep mode is enabled.
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : FEOL enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : BEOL enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : OFFGRID enabled: true
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : ANGLE enabled: true
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : PIN enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : FORBIDDEN enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : RECOMMENDED enabled: true
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : PreCheck DRC enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:25:53 +0200: Memory Usage (531896K) : Read in polygons from layers.
2026-07-11 03:25:53 +0200: Memory Usage (533204K) : activ_drw has 4847 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533332K) : activ_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533460K) : activ_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533460K) : activ_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533588K) : activ_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533588K) : activ_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533588K) : activ_iopc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533716K) : activ_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533716K) : biwind_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533716K) : biwind_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533844K) : pemwind_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533844K) : gatpoly_drw has 4112 polygons
2026-07-11 03:25:53 +0200: Memory Usage (533972K) : gatpoly_pin has 65 polygons
2026-07-11 03:25:53 +0200: Memory Usage (534100K) : gatpoly_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (534100K) : gatpoly_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (534228K) : gatpoly_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (534228K) : gatpoly_iopc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (534356K) : gatpoly_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : cont_drw has 1640232 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : cont_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : nsd_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : nsd_block has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : metal1_drw has 39512 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : metal1_pin has 18610 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : metal1_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : metal1_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : metal1_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542164K) : metal1_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : metal1_text has 10091 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : metal1_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : metal1_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : metal1_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : metal1_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : metal1_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : passiv_drw has 32 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : passiv_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : passiv_sbump has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542352K) : passiv_pillar has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : passiv_pdl has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_drw has 129019 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_pin has 642 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_text has 642 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542480K) : metal2_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542608K) : baspoly_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542608K) : baspoly_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542608K) : psd_drw has 1819 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542608K) : nldb_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542608K) : digibnd_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542736K) : via1_drw has 61293 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542992K) : backmetal1_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542992K) : backmetal1_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543120K) : backmetal1_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543120K) : backmetal1_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543120K) : backmetal1_nofill has 0 polygons
