# Logfile created on 2026-07-11 03:46:50 +0200 by logger.rb/v1.5.3
2026-07-11 03:46:50 +0200: Memory Usage (525556K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:46:50 +0200: Memory Usage (525556K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:46:50 +0200: Memory Usage (529652K) : Loading database to memory is complete.
2026-07-11 03:46:50 +0200: Memory Usage (529652K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_nbulay.lyrdb
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : Evaluate switches.
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : tables selected: nbulay
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : deep mode is enabled.
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : FEOL enabled: false
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : BEOL enabled: false
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : OFFGRID enabled: true
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : ANGLE enabled: true
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : PIN enabled: false
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : FORBIDDEN enabled: false
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : RECOMMENDED enabled: true
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : PreCheck DRC enabled: false
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:46:50 +0200: Memory Usage (529780K) : Read in polygons from layers.
2026-07-11 03:46:50 +0200: Memory Usage (531352K) : activ_drw has 4847 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531480K) : activ_pin has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531608K) : activ_mask has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531608K) : activ_filler has 23127 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531736K) : activ_nofill has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531736K) : activ_opc has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531736K) : activ_iopc has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531864K) : activ_noqrc has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531864K) : biwind_drw has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531992K) : biwind_opc has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (531992K) : pemwind_drw has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (532248K) : gatpoly_drw has 4112 polygons
2026-07-11 03:46:50 +0200: Memory Usage (532376K) : gatpoly_pin has 65 polygons
2026-07-11 03:46:50 +0200: Memory Usage (532376K) : gatpoly_filler has 23127 polygons
2026-07-11 03:46:50 +0200: Memory Usage (532504K) : gatpoly_nofill has 0 polygons
2026-07-11 03:46:50 +0200: Memory Usage (532504K) : gatpoly_opc has 0 polygons
