# Logfile created on 2026-07-11 03:47:17 +0200 by logger.rb/v1.5.3
2026-07-11 03:47:17 +0200: Memory Usage (526988K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:47:17 +0200: Memory Usage (526988K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:47:17 +0200: Memory Usage (532492K) : Loading database to memory is complete.
2026-07-11 03:47:17 +0200: Memory Usage (532492K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_pad.lyrdb
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : Evaluate switches.
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : tables selected: pad
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : deep mode is enabled.
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : FEOL enabled: false
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : BEOL enabled: false
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : OFFGRID enabled: true
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : ANGLE enabled: true
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : PIN enabled: false
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : FORBIDDEN enabled: false
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : RECOMMENDED enabled: true
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : PreCheck DRC enabled: false
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:47:17 +0200: Memory Usage (532620K) : Read in polygons from layers.
2026-07-11 03:47:17 +0200: Memory Usage (534360K) : activ_drw has 4847 polygons
2026-07-11 03:47:17 +0200: Memory Usage (534616K) : activ_pin has 0 polygons
2026-07-11 03:47:17 +0200: Memory Usage (534616K) : activ_mask has 0 polygons
2026-07-11 03:47:17 +0200: Memory Usage (534616K) : activ_filler has 23127 polygons
2026-07-11 03:47:17 +0200: Memory Usage (534744K) : activ_nofill has 0 polygons
2026-07-11 03:47:17 +0200: Memory Usage (534744K) : activ_opc has 0 polygons
2026-07-11 03:47:17 +0200: Memory Usage (534872K) : activ_iopc has 0 polygons
