# Logfile created on 2026-07-11 03:46:47 +0200 by logger.rb/v1.5.3
2026-07-11 03:46:47 +0200: Memory Usage (524040K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:46:47 +0200: Memory Usage (524040K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:46:47 +0200: Memory Usage (528136K) : Loading database to memory is complete.
2026-07-11 03:46:47 +0200: Memory Usage (528136K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_pwellblock.lyrdb
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : Evaluate switches.
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : tables selected: pwellblock
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : deep mode is enabled.
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : FEOL enabled: false
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : BEOL enabled: false
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : OFFGRID enabled: true
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : ANGLE enabled: true
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : PIN enabled: false
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : FORBIDDEN enabled: false
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : RECOMMENDED enabled: true
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : PreCheck DRC enabled: false
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:46:47 +0200: Memory Usage (528264K) : Read in polygons from layers.
2026-07-11 03:46:47 +0200: Memory Usage (529980K) : activ_drw has 4847 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530108K) : activ_pin has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530108K) : activ_mask has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530236K) : activ_filler has 23127 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530236K) : activ_nofill has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530364K) : activ_opc has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530364K) : activ_iopc has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530364K) : activ_noqrc has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530492K) : biwind_drw has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530492K) : biwind_opc has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530620K) : pemwind_drw has 0 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530620K) : gatpoly_drw has 4112 polygons
2026-07-11 03:46:47 +0200: Memory Usage (530748K) : gatpoly_pin has 65 polygons
