# Logfile created on 2026-07-11 03:25:42 +0200 by logger.rb/v1.5.3
2026-07-11 03:25:42 +0200: Memory Usage (525752K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:25:42 +0200: Memory Usage (525752K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:25:42 +0200: Memory Usage (529464K) : Loading database to memory is complete.
2026-07-11 03:25:42 +0200: Memory Usage (529464K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_topvia1.lyrdb
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : Evaluate switches.
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : tables selected: topvia1
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : deep mode is enabled.
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : FEOL enabled: false
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : BEOL enabled: false
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : OFFGRID enabled: true
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : ANGLE enabled: true
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : PIN enabled: false
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : FORBIDDEN enabled: false
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : RECOMMENDED enabled: true
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : PreCheck DRC enabled: false
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:25:42 +0200: Memory Usage (529592K) : Read in polygons from layers.
2026-07-11 03:25:42 +0200: Memory Usage (530924K) : activ_drw has 4847 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531180K) : activ_pin has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531180K) : activ_mask has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531308K) : activ_filler has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531308K) : activ_nofill has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531436K) : activ_opc has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531436K) : activ_iopc has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531436K) : activ_noqrc has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531564K) : biwind_drw has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531564K) : biwind_opc has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531692K) : pemwind_drw has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531692K) : gatpoly_drw has 4112 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531820K) : gatpoly_pin has 65 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531948K) : gatpoly_filler has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (531948K) : gatpoly_nofill has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (532076K) : gatpoly_opc has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (532076K) : gatpoly_iopc has 0 polygons
2026-07-11 03:25:42 +0200: Memory Usage (532204K) : gatpoly_noqrc has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (540012K) : cont_drw has 1640232 polygons
2026-07-11 03:25:43 +0200: Memory Usage (540012K) : cont_opc has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (540012K) : nsd_drw has 0 polygons
2026-07-11 03:25:43 +0200: Memory Usage (540012K) : nsd_block has 0 polygons
